disease_name,symptoms,treatment,prevention
Apple_scab,"Brown, scaly lesions on leaves and fruit","Apply sulfur-based fungicides every 7-10 days","Prune infected branches, improve air circulation"
Apple_black_rot,"Black circular spots with concentric rings on leaves and fruit","Remove infected fruit, apply copper fungicide","Prune dead branches, clean fallen leaves"
Apple_cedar_apple_rust,"Yellow spots with red margins on leaves, orange galls on fruit","Apply rust-preventive fungicide in spring","Remove juniper trees, improve drainage"
Apple_healthy,"No visible symptoms, healthy green leaves","No treatment needed","Maintain regular watering and fertilization"
Blueberry_healthy,"Vigorous growth, healthy blue berries","No treatment needed","Continue proper irrigation and pruning"
Cherry_powdery_mildew,"White powdery coating on leaves, fruit distortion","Spray sulfur fungicide weekly","Improve air circulation, water at soil level"
Cherry_healthy,"Normal growth, healthy cherries","No treatment needed","Maintain proper canopy management"
Corn_cercospora_leaf_spot,"Gray-brown spots with yellow halos on leaves","Apply fungicide treatment, increase nitrogen","Plant resistant varieties, crop rotation"
Corn_common_rust,"Reddish-brown pustules on leaf surfaces","Apply fungicide when weather is warm and humid","Plant disease-resistant hybrids"
Corn_northern_leaf_blight,"Long, narrow gray-green lesions on leaves","Apply fungicide, desiccant treatments, crop rotation","Use resistant varieties, remove infected debris"
Corn_healthy,"Healthy green leaves, normal growth","No treatment needed","Continue regular maintenance"
Grape_black_rot,"Circular brown lesions with black fruiting bodies on leaves and berries","Prune infected parts, apply sulfur fungicide","Improve air circulation, remove infected fruit"
Grape_esca,"Leaves show color changes, wood decay inside canes","No cure, remove infected vines","Prevent spore entry through pruning wounds"
Grape_leaf_blight,"Brown lesions with concentric rings on leaves","Apply sulfur-based fungicide weekly","Improve air circulation, remove fallen leaves"
Grape_healthy,"Vigorous growth, healthy green leaves and bunches","No treatment needed","Maintain proper pruning and irrigation"
Orange_haunglongbing,"Blotchy mottling on leaves, misshapen fruit, twig dieback","No cure, remove infected tree, control psyllids","Prevent insect vector spread, inspect nursery stock"
Peach_bacterial_spot,"Small angular brown spots with yellow halo on leaves","Apply copper fungicide in spring, prune infected branches","Plant resistant varieties, improve air circulation"
Peach_healthy,"Healthy foliage, normal fruit development","No treatment needed","Continue regular monitoring and maintenance"
Pepper_pepper_bell_bacterial_spot,"Water-soaked spots on leaves, fruit, and stems","Remove affected plant parts, apply copper fungicide","Use disease-free seeds, improve air circulation"
Pepper_bell_healthy,"Healthy green leaves, normal fruit development","No treatment needed","Continue proper plant care"
Potato_early_blight,"Brown spots with concentric rings on lower leaves","Apply fungicide, remove infected leaves, improve air circulation","Practice crop rotation, improve air drainage"
Potato_late_blight,"Water-soaked spots on leaves, white fungal growth underneath","Apply copper or mancozeb fungicide every 7-10 days","Plant resistant varieties, avoid overhead watering"
Potato_healthy,"Healthy vigorous growth, normal tubers","No treatment needed","Continue proper watering and fertilization"
Raspberry_healthy,"Healthy canes and foliage","No treatment needed","Maintain proper pruning and support structure"
Soybean_frogeye_leaf_spot,"Circular gray-brown spots with dark borders and centers on leaves","Apply fungicide treatment, resistant variety planting","Crop rotation, remove infected debris"
Soybean_healthy,"Healthy green foliage, normal pod development","No treatment needed","Continue regular monitoring"
Squash_powdery_mildew,"White powdery coating on leaves and stems","Apply sulfur or neem oil fungicide weekly","Improve air circulation, avoid overhead watering"
Strawberry_leaf_scorch,"Red-brown irregular lesions on leaves, berry scarring","Remove infected leaves, apply fungicide if severe","Practice sanitation, improve air circulation"
Strawberry_healthy,"Healthy green leaves, normal fruit development","No treatment needed","Continue proper watering and spacing"
Tomato_bacterial_spot,"Small brown spots with yellow halos on all plant parts","No effective treatment, remove infected plant","Use disease-free seeds, practice crop rotation"
Tomato_early_blight,"Brown spots with concentric rings on lower leaves","Remove infected leaves, apply fungicide every 7-10 days","Improve air circulation, remove fallen leaves"
Tomato_late_blight,"Water-soaked spots on leaves, white fungal growth underneath, fruit decay","Apply copper-based fungicide frequently","Avoid overhead watering, use resistant varieties"
Tomato_leaf_mold,"Yellow patches on leaf upper surface, brown patches below","Apply sulfur fungicide, improve air circulation, reduce humidity","Ensure proper ventilation, remove infected leaves"
Tomato_septoria_leaf_spot,"Small circular spots with dark borders and gray centers on lower leaves","Remove infected leaves, apply fungicide every 7-10 days","Practice crop sanitation, improve air circulation"
Tomato_spider_mites,"Fine webbing on leaves, yellowing and speckling of foliage","Apply sulfur or miticide spray, increase humidity","Monitor regularly, avoid excessive nitrogen"
Tomato_target_spot,"Brown lesions with concentric rings on leaves, stems, and fruit","Apply fungicide containing chlorothalonil or mancozeb","Improve air circulation, avoid overhead watering"
Tomato_tomato_mosaic_virus,"Mottled green and yellow leaves, distorted growth, reduced fruiting","No chemical treatment, remove infected plants","Disinfect tools, practice crop rotation"
Tomato_yellow_leaf_curl_virus,"Yellow curling of leaves, stunted growth, reduced yield","No cure, remove infected plant to prevent spread","Control whitefly vectors, use resistant varieties"
Tomato_healthy,"Healthy green foliage, normal fruit development","No treatment needed","Continue regular monitoring and maintenance"
